time	LON	LAT	magnitude	tornado type
0011_20150325	-92,8515	36,4586	0	mesocyclonic
2221_20150325	-96,302	36,1832	2	mesocyclonic
2312_20150325	-97,83	35,46	0	mesocyclonic
0253_20150408	-94,511	38,238	0	mesocyclonic
2030_20150408	-90,7992	37,9446	1	mesocyclonic
0132_20150409	-97,69	37,71	0	mesocyclonic
2204_20150409	-90,8953	41,6353	1	mesocyclonic
2336_20150411	-101,692	35,539	0	mesocyclonic
0011_20150414	-90,3847	32,1314	0	landspout
2058_20150416	-101,34	35,22	0	mesocyclonic
2355_20150417	-101,5	39,17	0	mesocyclonic
2106_20150418	-98,581	36,549	1	mesocyclonic
2347_20150418	-97,8082	32,5124	0	QLCS
2235_20150419	-92,6929	35,2244	1	mesocyclonic
2313_20150424	-97,5775	32,6374	0	QLCS
2358_20150426	-98,1017	32,2298	0	mesocyclonic
0209_20150427	-97,7777	32,1691	0	mesocyclonic
0133_20150504	-96,6322	40,5542	0	mesocyclonic
2358_20150504	-100,657	38,0284	1	mesocyclonic
2023_20150505	-101,547	32,4493	1	mesocyclonic
0024_20150506	-101,41	33,57	0	mesocyclonic
0059_20150506	-101,033	32,06	0	mesocyclonic
0758_20150506	-96,2274	35,8656	0	QLCS
1945_20150506	-98,3159	34,89	0	mesocyclonic
2133_20150506	-97,803	35,1576	3	mesocyclonic
2137_20150506	-98,25	36,3076	0	mesocyclonic
2149_20150506	-97,6507	37,8404	3	mesocyclonic
0014_20150507	-97,5478	39,8584	3	mesocyclonic
0149_20150507	-98,7318	33,6434	2	mesocyclonic
2045_20150507	-100,68	37,5998	0	landspout
2122_20150508	-99,4516	34,2054	0	mesocyclonic
2132_20150509	-99,0133	32,3032	3	mesocyclonic
2257_20150509	-98,631	34,11	0	mesocyclonic
0125_20150510	-99,5501	40,13	0	mesocyclonic
0425_20150511	-94,311	32,84	0	mesocyclonic
2322_20150515	-95,68	39,59	0	mesocyclonic
1812_20150516	-101,24	34,6	0	mesocyclonic
1940_20150519	-97,4789	34,92	0	mesocyclonic
2021_20150519	-96,7952	32,3102	0	mesocyclonic
2033_20150519	-98,9066	34,1167	0	mesocyclonic
0218_20150520	-97,9851	33,1654	0	mesocyclonic
2212_20150523	-98,0031	35,19	1	mesocyclonic
2259_20150523	-96,97	34,525	0	mesocyclonic
0144_20150524	-95,17	34,88	0	mesocyclonic
0734_20150524	-96,8623	32,8841	1	MCS
1634_20150524	-94,3589	32,3588	1	QLCS
0237_20150525	-100,685	37,2318	1	mesocyclonic
1646_20150525	-94,3364	32,4719	1	error?
1459_20150526	-90,0515	41,3229	1	QLCS
2240_20150526	-98,5351	32,7897	0	mesocyclonic
2000_20150527	-101,176	39,0595	0	mesocyclonic
2003_20150527	-100,56	38,29	0	mesocyclonic
1458_20150528	-95,0412	34,7706	1	QLCS
2037_20150528	-101,637	32,9242	0	mesocyclonic
2135_20150528	-102,554	39,162	0	mesocyclonic
1851_20150529	-95,1402	35,386	1	mesocyclonic
0420_20150530	-90,4506	39,269	1	mesocyclonic
0253_20150605	-100,66	39,52	0	mesocyclonic
0224_20150606	-101,234	39,0677	0	mesocyclonic
0611_20150607	-94,1413	42,2391	0	QLCS
2225_20150611	-90,7081	41,266	1	MCS
2018_20150612	-102,52	34,76	0	mesocyclonic
2345_20150613	-91,1576	38,9572	1	mesocyclonic
0042_20150615	-96,8087	38,6101	0	mesocyclonic
0909_20150618	-93,7005	32,0374	1	MCS
1138_20150618	-93,8427	32,1935	1	MCS
2205_20150622	-93,1169	41,1657	3	mesocyclonic
0008_20150623	-100,259	37,784	0	landspout
0015_20150623	-90,7945	41,3839	2	mesocyclonic
2256_20150625	-100,054	38,0671	0	landspout
2300_20150629	-100,45	37,9024	0	landspout
0008_20160308	-97,98	32,79	1	mesocyclonic
2056_20160313	-94,2451	34,8529	1	mesocyclonic
2332_20160313	-91,745	34,145	0	mesocyclonic
0025_20160316	-90,362	41,534	2	mesocyclonic
0208_20160324	-97,3815	32,9404	0	mesocyclonic
0251_20160324	-94,5042	35,6916	2	mesocyclonic
0408_20160324	-93,578	36,678	1	mesocyclonic
2148_20160330	-96,5858	37,1357	0	mesocyclonic
0013_20160331	-96,0151	36,2151	2	mesocyclonic
2303_20160424	-98,18	40,0952	1	mesocyclonic
2047_20160426	-96,5904	38,984	0	mesocyclonic
2058_20160426	-97,61	37,24	0	mesocyclonic
2242_20160426	-95,83	39,13	0	mesocyclonic
2247_20160426	-99,8271	33,0303	0	QLCS
0047_20160427	-99,0499	39,9122	0	mesocyclonic
0108_20160427	-97,707	35,407	0	QLCS
0244_20160427	-96,5556	36,454	1	QLCS
0649_20160427	-93,3621	37,1345	0	QLCS
0321_20160430	-94,2631	32,349	1	mesocyclonic
0534_20160430	-94,3715	32,6301	1	QLCS
0541_20160430	-93,472	33,2428	1	mesocyclonic
2206_20160507	-102,5499	39,9592	0	mesocyclonic
0003_20160509	-98,076	34,581	-9	mesocyclonic
2125_20160509	-96,6106	40,7365	1	mesocyclonic
2130_20160509	-99,2471	40,7254	0	mesocyclonic
2206_20160509	-98,0625	40,428	0	mesocyclonic
2218_20160509	-91,44	41,2	0	landspout
2258_20160509	-97,171	36,194	2	mesocyclonic
2340_20160509	-97	39,5	0	mesocyclonic
0046_20160510	-94,6394	41,6517	0	mesocyclonic
0115_20160512	-91,2033	38,1244	2	mesocyclonic
0005_20160522	-101,3972	38,6279	0	mesocyclonic
2230_20160522	-100,9416	35,0616	0	mesocyclonic
2313_20160522	-101,6411	32,25	3	mesocyclonic
1937_20160523	-98,4881	40,6384	0	landspout
2228_20160524	-96,4836	35,9085	1	mesocyclonic
2255_20160524	-100,14	37,5	3	mesocyclonic
0629_20160525	-95,83	35,7108	1	mesocyclonic
0227_20160526	-96,5614	38,85	1	mesocyclonic
1903_20160526	-96,3958	39,1733	0	mesocyclonic
2100_20160526	-95,96	39,12	0	QLCS
2203_20160526	-93,62	38,63	0	mesocyclonic
2043_20160527	-102,08	38,54	-9	landspout
2226_20160527	-96,8398	37,6499	0	mesocyclonic
0109_20160530	-99,05	33,31	0	mesocyclonic
1504_20160531	-90,318	41,8865	0	landspout
2228_20160531	-97,96	35,241	-9	landspout
1620_20160601	-102,2315	33,3092	-9	landspout
2230_20160613	-90,0069	38,4646	0	landspout
0106_20160614	-101,747	35,788	0	mesocyclonic
2251_20160629	-95,6741	41,562	0	mesocyclonic
2323_20170306	-94,2041	42,2348	0	QLCS
2335_20170306	-96,5376	39,0539	0	QLCS
0105_20170307	-96,81	37,67	0	QLCS
0124_20170307	-94,5988	39,428	2	mesocyclonic
0344_20170307	-94,7044	35,6562	1	mesocyclonic
0350_20170307	-90,8302	42,293	0	QLCS
0356_20170307	-91,23	41,28	2	QLCS
0042_20170310	-93,8717	36,766	0	mesocyclonic
0131_20170325	-94,4499	32,4825	2	MCS
0258_20170325	-92,965	34,5259	0	mesocyclonic
0335_20170325	-93,6846	32,0248	1	mesocyclonic
0014_20170327	-96,609	34,739	0	mesocyclonic
0150_20170329	-100,849	32,4	0	mesocyclonic
0708_20170329	-97,373	32,923	0	QLCS
1038_20170329	-94,7976	32,5278	1	QLCS
0151_20170410	-96,76	40,51	0	mesocyclonic
2022_20170413	-99,14	34,0793	0	mesocyclonic
2158_20170415	-96,1268	40,7086	0	mesocyclonic
2338_20170415	-99,26	38,45	0	landspout
0150_20170416	-91,2288	42,1417	1	QLCS
2343_20170416	-98,94	36,37	-9	mesocyclonic
0313_20170426	-96,694	34,93	0	mesocyclonic
0433_20170426	-95,3729	36,3725	1	mesocyclonic
0622_20170426	-93,82	36,44	1	QLCS
1504_20170426	-93,2909	35,1855	0	QLCS
2321_20170427	-101,9996	39,3644	0	QLCS
0336_20170429	-94,5783	35,1017	2	mesocyclonic
2031_20170429	-90,531	38,8507	0	QLCS
2117_20170429	-94,7782	35,4394	1	mesocyclonic
0537_20170430	-91,702	35,1512	1	QLCS
1213_20170430	-90,9521	32,289	1	mesocyclonic
2114_20170503	-94,5231	32,098	1	mesocyclonic
0046_20170510	-102,7	33,86	-9	mesocyclonic
0827_20170510	-101,1	35,04	1	mesocyclonic
0105_20170511	-98,94	34,27	0	mesocyclonic
0534_20170511	-94,4182	36,9052	0	QLCS
1901_20170511	-95,7948	36,304	1	mesocyclonic
2013_20170511	-97,04	35,97	-9	mesocyclonic
2211_20170511	-95,9009	36,5454	0	QLCS
0115_20170512	-93,9739	32,7265	1	mesocyclonic
2139_20170516	-100,65	35,16	0	mesocyclonic
2143_20170516	-97,4305	40,6662	0	mesocyclonic
2249_20170516	-100,0012	37,3764	1	mesocyclonic
0059_20170517	-99,0186	38,1987	3	mesocyclonic
0624_20170517	-97,9389	40,4516	1	QLCS
2048_20170517	-97,0187	42,0075	1	mesocyclonic
2336_20170517	-91,6021	41,3838	1	mesocyclonic
1902_20170518	-99,594	34,677	-9	mesocyclonic
2104_20170518	-99,282	34,054	-9	mesocyclonic
2252_20170518	-96,4537	38,8495	0	mesocyclonic
0000_20170519	-98,0483	34,4619	0	mesocyclonic
0041_20170519	-99,1185	32,0353	1	mesocyclonic
0915_20170519	-91,6829	38,9166	1	QLCS
2037_20170519	-98,682	37,24	0	mesocyclonic
0015_20170520	-96,9901	39,2557	0	mesocyclonic
0048_20170520	-96,68	38,5	0	mesocyclonic
1952_20170523	-90,01	41,6895	0	QLCS
0105_20170524	-90,1668	40,8137	0	landspout
2135_20170525	-102,1557	39,6876	0	mesocyclonic
0045_20170527	-102,29	39,58	0	mesocyclonic
0120_20170528	-96,5336	35,6012	0	mesocyclonic
0445_20170528	-94,4911	35,5797	1	QLCS
2153_20170528	-94,8205	32,5501	1	mesocyclonic
1944_20170531	-96,55	38,01	0	mesocyclonic
0247_20170618	-94,0939	39,0678	0	QLCS
2046_20170628	-95,5628	40,7567	2	mesocyclonic
2057_20170628	-94,52	41,4	0	mesocyclonic
